Metric,Value
Sample Name,real_10k_2
Total Reads,10000
Total Bases,7475020
Mean Read Length,747.50
Median Read Length,685.0
N50,769
Min Read Length,91
Max Read Length,2992
Median Read Qscore,15.07
Long High-Quality Ratio,0.8223
Reversed Read Ratio,0.4917
Correct Anchor Order Ratio,0.5478
5' Truncation Ratio,0.0173
3' Truncation Ratio,0.1759
High-N Read Ratio,0.0000
Rust Accelerator,python-fallback

Anchor Detection Ratios
adapter_5p,0.7380
polyA,0.9598

QC Bucket Counts
pass,4573
low_read_q,1768
internal_adapter,1703
missing_5p,1458
missing_3p,186
concatemer_candidate,97
three_prime_truncated,95
five_prime_truncated,65
no_anchor,43
too_short,9
order_invalid,3

Structure Classification Counts
missing_5p_anchor,2049
full_structure,5478
no_anchor_detected,105
internal_3p_anchor,1928
missing_3p_anchor,292
concatemer_candidate,108
internal_5p_anchor,36
anchor_order_invalid,4

Structure Orientation Counts
missing_5p_anchor (forward),1062
missing_5p_anchor (reversed),987
full_structure (forward),2725
full_structure (reversed),2753
no_anchor_detected (forward),105
internal_3p_anchor (forward),945
internal_3p_anchor (reversed),983
missing_3p_anchor (forward),196
missing_3p_anchor (reversed),96
concatemer_candidate (forward),34
concatemer_candidate (reversed),74
internal_5p_anchor (forward),15
internal_5p_anchor (reversed),21
anchor_order_invalid (forward),1
anchor_order_invalid (reversed),3
